"Accession"	"Species"	"Length"	"Sequence_Type"	"Host"	"Collection_Date"	"Country.1"	"Country.2"
"118"	"MK540685"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"1992"	USA	 New York
"119"	"MK540686"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1992"	USA	 New York
"120"	"MK540687"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1992"	USA	 New York
"121"	"MK540688"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1993"	USA	 New York
"122"	"MK540689"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1993"	USA	 New York
"123"	"MK540690"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"1995"	USA	 New York
"124"	"MK540691"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	 New York
"125"	"MK540692"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2003"	USA	 New York
"126"	"MK540693"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2003"	USA	 New York
"127"	"MK540694"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2003"	USA	 New York
"128"	"MK540695"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2003"	USA	 New York
"129"	"MK540696"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2004"	USA	 New York
"130"	"MK540697"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2004"	USA	 New York
"131"	"MK540698"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"132"	"MK540699"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"133"	"MK540700"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"134"	"MK540701"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"135"	"MK540702"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"136"	"MK540703"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"137"	"MK540704"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"138"	"MK540705"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"139"	"MK540706"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"140"	"MK540707"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"141"	"MK540708"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"142"	"MK540709"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"143"	"MK540710"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2004"	USA	 New York
"144"	"MK540711"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"145"	"MK540712"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2004"	USA	 New York
"146"	"MK540713"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2004"	USA	 New York
"147"	"MK540714"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"148"	"MK540715"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"149"	"MK540716"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2004"	USA	 New York
"150"	"MK540717"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"151"	"MK540718"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"152"	"MK540719"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"153"	"MK540720"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2004"	USA	 New York
"154"	"MK540721"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2004"	USA	 New York
"155"	"MK540722"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2009"	USA	 New York
"156"	"MK540723"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"157"	"MK540724"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"158"	"MK540725"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"159"	"MK540726"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"160"	"MK540727"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"161"	"MK540728"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"162"	"MK540729"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"163"	"MK540730"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"164"	"MK540731"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"165"	"MK540732"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"166"	"MK540733"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"167"	"MK540734"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"168"	"MK540735"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"169"	"MK540736"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"170"	"MK540737"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2010"	USA	 New York
"171"	"MK540738"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2010"	USA	 New York
"172"	"MK540739"	"Rabies lyssavirus"	11922	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"173"	"MK540740"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2010"	USA	 New York
"174"	"MK540741"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2010"	USA	 New York
"175"	"MK540742"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2011"	USA	 New York
"176"	"MK540743"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"177"	"MK540744"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"178"	"MK540745"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"179"	"MK540746"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"180"	"MK540747"	"Rabies lyssavirus"	11925	"GenBank"	"Urocyon cinereoargenteus"	"2011"	USA	 New York
"181"	"MK540748"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"182"	"MK540749"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"183"	"MK540750"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"184"	"MK540751"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"185"	"MK540752"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"186"	"MK540753"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"187"	"MK540754"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"188"	"MK540755"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2011"	USA	 New York
"189"	"MK540756"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"190"	"MK540757"	"Rabies lyssavirus"	11924	"GenBank"	"Urocyon cinereoargenteus"	"2011"	USA	 New York
"191"	"MK540758"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"192"	"MK540759"	"Rabies lyssavirus"	11924	"GenBank"	"Felis catus"	"2011"	USA	 New York
"193"	"MK540760"	"Rabies lyssavirus"	11923	"GenBank"	"Felis catus"	"2011"	USA	 New York
"194"	"MK540761"	"Rabies lyssavirus"	11923	"GenBank"	"Felis catus"	"2011"	USA	 New York
"195"	"MK540762"	"Rabies lyssavirus"	11922	"GenBank"	"Felis catus"	"2011"	USA	 New York
"196"	"MK540763"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"197"	"MK540764"	"Rabies lyssavirus"	11924	"GenBank"	"Vulpes vulpes"	"2011"	USA	 New York
"198"	"MK540765"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2011"	USA	 New York
"199"	"MK540766"	"Rabies lyssavirus"	11924	"GenBank"	"Urocyon cinereoargenteus"	"2011"	USA	 New York
"200"	"MK540767"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"201"	"MK540768"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"202"	"MK540769"	"Rabies lyssavirus"	11924	"GenBank"	"Felis catus"	"2011"	USA	 New York
"203"	"MK540770"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"204"	"MK540771"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"205"	"MK540772"	"Rabies lyssavirus"	11924	"GenBank"	"Felis catus"	"2011"	USA	 New York
"206"	"MK540773"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"207"	"MK540774"	"Rabies lyssavirus"	11923	"GenBank"	"Felis catus"	"2011"	USA	 New York
"208"	"MK540775"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"209"	"MK540776"	"Rabies lyssavirus"	11924	"GenBank"	"Urocyon cinereoargenteus"	"2011"	USA	 New York
"210"	"MK540777"	"Rabies lyssavirus"	11924	"GenBank"	"Felis catus"	"2011"	USA	 New York
"211"	"MK540778"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"212"	"MK540779"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"213"	"MK540780"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2011"	USA	 New York
"214"	"MK540781"	"Rabies lyssavirus"	11924	"GenBank"	"Marmota monax"	"2011"	USA	 New York
"215"	"MK540782"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2011"	USA	 New York
"216"	"MK540783"	"Rabies lyssavirus"	11924	"GenBank"	"Felis catus"	"2011"	USA	 New York
"217"	"MK540784"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"218"	"MK540785"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2011"	USA	 New York
"219"	"MK540786"	"Rabies lyssavirus"	11924	"GenBank"	"Urocyon cinereoargenteus"	"2011"	USA	 New York
"220"	"MK540787"	"Rabies lyssavirus"	11924	"GenBank"	"Mephitidae"	"2011"	USA	 New York
"221"	"MK540788"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2011"	USA	 New York
"222"	"MK540789"	"Rabies lyssavirus"	11924	"GenBank"	"Urocyon cinereoargenteus"	"2011"	USA	 New York
"223"	"MK540790"	"Rabies lyssavirus"	11924	"GenBank"	"Bos taurus"	"2011"	USA	 New York
"224"	"MK540791"	"Rabies lyssavirus"	11924	"GenBank"	"Felis catus"	"2011"	USA	 New York
"225"	"MK540792"	"Rabies lyssavirus"	11923	"GenBank"	"Mephitidae"	"2011"	USA	 New York
"226"	"MK540793"	"Rabies lyssavirus"	11925	"GenBank"	"Mephitidae"	"2011"	USA	 New York
"227"	"MK540794"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2015"	USA	 New York
"228"	"MK540795"	"Rabies lyssavirus"	11923	"GenBank"	"Procyon lotor"	"2015"	USA	 New York
"229"	"MK540796"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2015"	USA	 New York
"230"	"MK540797"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2018"	USA	 New York
"231"	"MK540798"	"Rabies lyssavirus"	11924	"GenBank"	"Procyon lotor"	"2018"	USA	 New York
"232"	"MK540799"	"Rabies lyssavirus"	11925	"GenBank"	"Procyon lotor"	"2018"	USA	 New York
"233"	"MF143210"	"Rabies lyssavirus"	11939	"GenBank"	"Mephitidae"	"2013"	USA	 New Portland, Franklin, ME
